source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag
199703094981632,45.81101721095376,1.2165231030444887,2.133199555099122,0.060457863,15.961519
200557792963584,45.894205052404075,1.2520073270677534,1.2818220458877467,0.17635833,17.979944
201111844251392,45.92662190168097,1.2891851834588888,2.488686279063769,0.20153673,18.30491
202516298048128,46.05922755144251,1.233390212198292,1.3676446074789907,0.47466174,19.521923
203100413494912,46.11283323190896,1.2787055841183945,4.024736592452507,0.01991529,13.728308
207017423782912,45.95114372903636,1.3071056134504762,1.20819060903477,0.89780515,20.388262
213236536586752,45.346164068557755,1.024701903282949,1.2918688765067055,0.05858383,13.079724
213305256084736,45.434944527535215,0.9838699439688627,1.5154581932812594,0.17229147,18.5828
215572998975104,45.250871359841845,0.9905542294094969,1.413751211579904,0.3285403,19.547905
220280282950528,45.50631637730239,1.0895756921444115,2.7890791084870976,0.017085379,12.06555
220765614607616,45.56281119577888,1.1119757893634323,1.5079639374856288,0.038291547,15.3477335
221585953065984,45.54523271996776,1.13613338819991,1.1317828323850696,0.20107403,18.272106
230760003221760,45.17286420229152,1.1673956992923673,1.1466094416013233,0.20278399,18.608475
230828722627072,45.171881974493104,1.1768842139196538,2.510159677276352,0.014134564,13.087419
231481557871232,45.3223015617976,1.1702512312896869,1.578982082301145,0.90290797,20.250254
232310486701696,45.204352849442785,1.1912707929845143,2.578736538739131,0.04335193,15.787555
232546709628672,45.265852773598176,1.2024749574948832,1.2757967415648348,0.086510316,17.121876
237533166643328,45.360606258119304,1.2059863496861907,1.654748198958488,1.1925942,20.71588
240694262824320,45.50027971073814,1.3618120745251405,2.149805312741452,0.015749507,13.398209
242171731580672,45.25196434386155,1.2957448753935084,1.2577705525876455,0.10889949,17.550951
244198956139648,45.35467204284346,1.3687055489972075,1.318925918507679,0.018542513,10.597648
250658586976512,45.79358249013322,1.4106058484082389,1.2360721706906463,0.023843165,14.257103
252269199628672,45.56797523583115,1.3620997839566293,1.728409063078834,0.44510478,19.450687
255056633485952,45.70243898395181,1.4911424451516542,2.577613193531355,0.7117333,19.344238
255056633486848,45.70464620259196,1.4757858008083238,2.526636471960213,0.019530384,14.065396
255258496874496,45.91432628049586,1.3841642500409368,1.4779722704449711,0.25567132,18.912909
258355167914624,46.01330067480531,1.517607175068789,1.085572140832604,0.6347304,19.712467
263096812324480,45.82916987728421,1.5664642026375737,2.0818997584212076,0.6145804,20.315508
265291540484608,45.46836930716871,1.4157314330678783,1.5192250668010818,0.8287866,20.155039
267872815868672,45.63743021839344,1.5267210652279448,4.041142089308766,0.01625428,13.792631
270995257135104,45.52944111122765,1.5548825250594223,1.3134478403936611,0.4835721,19.64022
271819890859264,45.504758327668064,1.572259300698305,1.901154007249494,1.2196026,20.542133
272958057146752,45.67207751916759,1.5193951585399907,1.822118260200354,0.09108667,17.17406
274431232868224,45.701181634106725,1.5961161456387634,1.1313899427801049,0.49101233,19.915909
280272386511360,45.76085426431262,1.732288174597499,1.1520889583726686,0.38435987,19.853498
281303178663040,45.67304882026722,1.7649388045944847,1.0254176774499006,0.32496288,19.385326
282888021703552,44.24460823006079,0.674162333449034,1.279160116394135,0.04102294,15.559813
286083477371648,44.21715625540999,0.7084084487901706,5.289220447585863,0.14956497,13.951838
290030551677568,44.28903001063191,0.8612840316412105,1.4120022910739407,0.868047,20.213936
290653322073216,44.443496070667344,0.789529053614847,1.0485560219583825,1.0110459,20.596468
290786466052736,44.48183588469209,0.8122148605640657,1.7453695390409332,2.6827471,20.851667
