source_id,ra,dec,parallax,parallax_error,parallax_corrected,period_days,mean_g_mag,mean_bp_mag,mean_rp_mag,g_mag_error,bp_mag_error,rp_mag_error
2012494342018730496,353.33454202589917,61.11907042193325,0.2569687806449367,0.011658746,0.2869687806449367,3.8712825574849448,12.198335,13.142912,11.207876,0.0019184999,0.011570491,0.011003099
450160096438199424,52.40116752532363,58.88240318831538,0.29334314132328493,0.016373845,0.3233431413232849,4.968147264326747,13.247119,15.133179,11.940005,0.0010026596,0.0033316587,0.0056186514
5699042480743325312,120.09545257991205,-23.703166946269217,0.2598857724259178,0.017215554,0.28988577242591784,5.027339263902005,10.0835905,10.509705,9.47718,0.0013337499,0.0051700207,0.0019604855
5312211543964567040,142.5659738715467,-53.058674803417944,0.3251580096554677,0.012553517,0.35515800965546773,5.4845932597550835,11.18291,12.078104,10.240672,0.0014832481,0.0013399516,9.4078045E-4
5238808628736339584,164.28833612032454,-65.13474394719451,0.29251954096672084,0.014486699,0.32251954096672086,15.714516773668969,9.008705,9.605321,8.21397,0.025163343,0.014412184,0.016700173
3031419601502352768,109.24720190730983,-15.307056825079506,0.2972805483152769,0.018314265,0.32728054831527686,2.3115396261704304,11.581735,12.266897,10.748083,0.013133261,0.01593127,0.012624874
5312871354004960256,142.69035438551873,-51.481917043423714,0.25243384045830347,0.016818147,0.28243384045830344,4.448938219139412,12.906934,14.1528635,11.812198,0.0018309709,0.006687352,0.001286541
4057701830728920064,266.89007492146686,-27.830834617754377,2.8057114280856257,0.13998193,2.8357114280856255,7.012112432949166,4.297882,4.6852403,3.7350929,0.006962619,0.11622035,0.018747749
1827869808377481216,296.64660010343846,22.889753281352316,0.4136931276069938,0.017299993,0.44369312760699375,5.197519215240402,10.033452,10.94757,9.094628,0.0010701019,0.0010422434,0.0031679815
5302258008774271488,127.18202311384255,-60.12256315648986,0.7926621151908935,0.0138803935,0.8226621151908935,6.696748676137484,7.1226964,7.5758104,6.4725194,0.0015583041,0.0010292296,0.0103815375
5530071831587999232,129.78342696387423,-37.375507356326665,0.20133792955888302,0.012560436,0.23133792955888302,4.065855810500746,12.256243,12.877162,11.487749,0.007210356,0.00719799,0.004916085
5338024572321721216,164.46107872433964,-60.74208432060505,0.4137353685869593,0.011167433,0.4437353685869593,4.266072139827661,9.44988,9.963742,8.776262,0.0019525839,0.0013081233,0.0048251455
3102246837723495296,101.8180669588419,-4.650111470716617,0.2084328660094414,0.018788246,0.23843286600944139,10.206248791732813,12.437012,13.738793,11.319523,0.0028027797,0.0066816676,0.0018076871
3102535635624415872,104.34904133923685,-3.8433360327914237,0.3139351852578725,0.014882568,0.3439351852578725,3.937772009143462,12.1027975,12.993026,11.17434,0.0038264338,0.009282895,0.0037525974
515832929535462016,41.080820297258654,64.76592321227983,0.24881898049506845,0.014368788,0.2788189804950685,4.238828850219458,10.959705,11.807668,10.048317,5.7371164E-4,0.0010374407,3.8719518E-4
447183340501268352,48.120250643475096,54.44485009410995,0.36746296816073276,0.01913195,0.3974629681607328,9.715327516192838,10.709465,12.017249,9.598416,0.0011290347,0.00198198,6.3821033E-4
2056068193989793792,307.2423181327481,34.135083478343844,0.55836674276519,0.013385226,0.5883667427651901,4.612072229090385,10.096521,11.147813,9.082546,0.0018290163,9.915316E-4,0.0013689634
5600052040150252800,114.64681824177369,-28.499600829261375,0.2010983273106137,0.014700196,0.2310983273106137,23.172331970443697,9.192757,9.865075,8.372339,0.009171147,0.01018955,0.0040152944
5865206961464617088,201.6252293700785,-63.16262565931129,0.2084973712985102,0.018814906,0.2384973712985102,12.88066969459292,11.047864,12.161303,9.999227,0.014480738,0.017384171,0.013385079
5329352998951582976,130.91118029354817,-47.40309012410012,0.40402247453870505,0.018353475,0.434022474538705,23.352513760390675,7.7184925,8.37664,6.90797,0.029583491,0.04296374,0.021323457
5888819699572539264,231.15974101292744,-52.85387016499332,0.8408077446720916,0.021128751,0.8708077446720917,9.276907986801332,7.2232747,7.878202,6.4337673,4.0797936E-4,0.0013029313,0.0037989784
6059635702888301952,190.35841821390846,-59.79418647823048,0.7421630410367415,0.019866327,0.7721630410367415,3.837622498272903,7.999543,8.409109,7.399397,0.0045101955,0.0055346466,0.0058609974
3437868570213317504,91.07773519264971,30.498764122178656,0.2636548626285032,0.018021254,0.29365486262850315,3.505132967692451,13.383068,14.798818,12.219749,0.0038753087,0.021818941,0.0020394258
429385923752386944,0.24679751198211522,60.95900169186151,0.2683305237457323,0.013846614,0.2983305237457323,4.365371186276669,10.842955,11.61377,9.970662,0.002604098,0.01503502,0.003451145
3113680251125330304,104.16581674911237,0.19004033274609927,0.25151879593806326,0.018437143,0.2815187959380633,4.022602958431276,11.285285,11.876897,10.445418,0.0011720015,0.09359426,0.023251759
5853901851624637824,211.9249976828373,-63.254334645461356,0.21453271659753054,0.019477446,0.24453271659753054,7.797157370567708,11.647874,12.953167,10.529251,8.969329E-4,0.0014366352,7.088987E-4
5338215200143652992,163.78783366011064,-60.547722596948,0.24002847016426904,0.01239087,0.270028470164269,5.336376207265019,11.438394,12.246952,10.548267,0.0012742036,0.0016805218,8.515596E-4
5235910694044165760,176.13693452898704,-67.3052504233763,0.666400989369461,0.014535544,0.696400989369461,3.0861573513315688,8.714866,9.202533,8.045665,0.002339509,0.0022783352,0.0019417639
3344381567567275392,93.0915100210619,13.636593708489904,0.29034174697865844,0.025602615,0.32034174697865847,3.5632219487315777,12.885599,14.106529,11.78733,0.009478932,0.0206629,0.0069086775
5544213926244557184,120.20159485573139,-37.82794381721476,0.3274460779018481,0.010809145,0.3574460779018481,5.884906729518966,10.635101,11.517886,9.698505,0.0019136845,9.773545E-4,5.9995416E-4
5253795384552296448,158.01836868113614,-61.782616102806756,0.4415188061328064,0.013483183,0.4715188061328064,5.543921254935856,8.709635,9.160929,8.084203,0.0021990205,0.003601105,0.001534971
5862529345743227776,198.5006296438438,-62.49845370747415,0.22326128964483102,0.017321672,0.253261289644831,6.379236974370734,11.807834,13.102434,10.686171,7.6507055E-4,5.348702E-4,0.011653495
2013029941628292352,359.3956496583565,62.718240657236684,0.3221246398226651,0.013070237,0.35212463982266506,9.810775680059352,9.44225,10.136853,8.630114,0.002246338,0.003625331,0.0022586626
5877120341746137216,229.63532083644213,-58.02463444646278,0.35289014386268763,0.028420018,0.3828901438626876,9.149760643981443,11.686576,13.316244,10.463503,0.0037490064,0.004212416,0.005346614
2068663855595724672,304.0528174619979,42.108691623281516,0.4390924953059856,0.021880344,0.4690924953059856,33.223835167620685,9.883131,11.664055,8.640673,0.0048967195,0.011997045,0.0095840255
4104857784196182400,277.8322831770774,-13.108184937969465,0.5960083340408681,0.019188927,0.6260083340408681,4.198361997444163,9.479021,10.211893,8.65093,0.015300739,0.021937102,0.044561535
459263743483634304,36.807364322658,59.460601064951476,0.3734720711274525,0.017359182,0.40347207112745254,13.63819875506045,9.141022,10.089019,8.1731415,0.0011301684,0.0010534122,3.3911603E-4
4063826557167149440,268.57334403093074,-26.758213888055938,0.603805143891647,0.02484319,0.633805143891647,5.7482634806430095,10.908564,12.569352,9.681924,0.0011716739,0.0025752007,0.0026283676
201509768065410944,78.1634523744642,42.831780076645465,0.42681548207344705,0.019981427,0.456815482073447,10.146213057061988,8.689358,9.292438,7.93374,0.0030532333,0.0043888255,0.0028965524
5855468247702904704,190.52088709397324,-69.40756401684872,1.0656070174790695,0.01752815,1.0956070174790695,7.509878077876793,6.1125574,6.5040183,5.5546327,0.0027454775,0.0073135076,0.008579118
4069645924308096512,271.20327515337704,-22.73241493342173,0.35237159408449403,0.025224898,0.38237159408449406,15.402426970999748,10.102503,11.339131,8.936981,0.016765457,0.1390659,0.010413626
